Population,Identifier,Year,WorldPop
World,OWID_WRL,1900,1647405022
World,OWID_WRL,1901,1658785643
World,OWID_WRL,1902,1672564382
World,OWID_WRL,1903,1687012805
World,OWID_WRL,1904,1701647404
World,OWID_WRL,1905,1716473051
World,OWID_WRL,1906,1731494784
World,OWID_WRL,1907,1746736854
World,OWID_WRL,1908,1762200207
World,OWID_WRL,1909,1777067748
World,OWID_WRL,1910,1793323592
World,OWID_WRL,1911,1804920684
World,OWID_WRL,1912,1817990952
World,OWID_WRL,1913,1830461187
World,OWID_WRL,1914,1843131589
World,OWID_WRL,1915,1855949027
World,OWID_WRL,1916,1868851504
World,OWID_WRL,1917,1881853176
World,OWID_WRL,1918,1895037042
World,OWID_WRL,1919,1909044309
World,OWID_WRL,1920,1926217425
World,OWID_WRL,1921,1939587826
World,OWID_WRL,1922,1955971631
World,OWID_WRL,1923,1973057174
World,OWID_WRL,1924,1990416385
World,OWID_WRL,1925,2008052088
World,OWID_WRL,1926,2025945381
World,OWID_WRL,1927,2044097070
World,OWID_WRL,1928,2062543972
World,OWID_WRL,1929,2081683468
World,OWID_WRL,1930,2104067378
World,OWID_WRL,1931,2122176586
World,OWID_WRL,1932,2143517525
World,OWID_WRL,1933,2165540428
World,OWID_WRL,1934,2187836793
World,OWID_WRL,1935,2210412972
World,OWID_WRL,1936,2233367401
World,OWID_WRL,1937,2256671866
World,OWID_WRL,1938,2280342907
World,OWID_WRL,1939,2303096438
World,OWID_WRL,1940,2327357739
World,OWID_WRL,1941,2344788534
World,OWID_WRL,1942,2363887111
World,OWID_WRL,1943,2381758939
World,OWID_WRL,1944,2399659920
World,OWID_WRL,1945,2417413700
World,OWID_WRL,1946,2435048602
World,OWID_WRL,1947,2454045831
World,OWID_WRL,1948,2474648090
World,OWID_WRL,1949,2500821769
World,OWID_WRL,1950,2536605808
World,OWID_WRL,1951,2584034223
World,OWID_WRL,1952,2630861688
World,OWID_WRL,1953,2677609059
World,OWID_WRL,1954,2724846751
World,OWID_WRL,1955,2773019915
World,OWID_WRL,1956,2822443253
World,OWID_WRL,1957,2873306055
World,OWID_WRL,1958,2925686678
World,OWID_WRL,1959,2979576143
World,OWID_WRL,1960,3035160180
World,OWID_WRL,1961,3091843506
World,OWID_WRL,1962,3150420759
World,OWID_WRL,1963,3211000941
World,OWID_WRL,1964,3273978271
World,OWID_WRL,1965,3339583509
World,OWID_WRL,1966,3407922630
World,OWID_WRL,1967,3478770102
World,OWID_WRL,1968,3551599432
World,OWID_WRL,1969,3625680964
World,OWID_WRL,1970,3700685676
World,OWID_WRL,1971,3775760030
World,OWID_WRL,1972,3851650585
World,OWID_WRL,1973,3927780518
World,OWID_WRL,1974,4003794178
World,OWID_WRL,1975,4079480473
World,OWID_WRL,1976,4154666824
World,OWID_WRL,1977,4229505917
World,OWID_WRL,1978,4304533597
World,OWID_WRL,1979,4380506180
World,OWID_WRL,1980,4458274952
World,OWID_WRL,1981,4536996616
World,OWID_WRL,1982,4617386524
World,OWID_WRL,1983,4699569184
World,OWID_WRL,1984,4784011512
World,OWID_WRL,1985,4870921665
World,OWID_WRL,1986,4960567998
World,OWID_WRL,1987,5052521994
World,OWID_WRL,1988,5145425992
World,OWID_WRL,1989,5237441433
World,OWID_WRL,1990,5327529078
World,OWID_WRL,1991,5414289382
World,OWID_WRL,1992,5498919891
World,OWID_WRL,1993,5581597596
World,OWID_WRL,1994,5663150426
World,OWID_WRL,1995,5744212929
World,OWID_WRL,1996,5824891927
World,OWID_WRL,1997,5905045647
World,OWID_WRL,1998,5984794072
World,OWID_WRL,1999,6064239030
World,OWID_WRL,2000,6143776621
World,OWID_WRL,2001,6222912459
World,OWID_WRL,2002,6302062210
World,OWID_WRL,2003,6381477292
World,OWID_WRL,2004,6461454653
World,OWID_WRL,2005,6542205330
World,OWID_WRL,2006,6623819401
World,OWID_WRL,2007,6706251239
World,OWID_WRL,2008,6789396380
World,OWID_WRL,2009,6873077808
World,OWID_WRL,2010,6957137521
World,OWID_WRL,2011,7041509491
World,OWID_WRL,2012,7126144677
World,OWID_WRL,2013,7210900157
World,OWID_WRL,2014,7295610265
World,OWID_WRL,2015,7380117870
World,OWID_WRL,2016,7464344232
World,OWID_WRL,2017,7548182589
World,OWID_WRL,2018,7631091110
World,OWID_WRL,2019,7713468203
World,OWID_WRL,2020,7794798725
World,OWID_WRL,2021,7874965730
